time,transforms_0
2025/10/17 12:43:19.108751695,"{'header': {'stamp': {'secs': 1760697710, 'nsecs': 187526619}, 'frame_id': 'map'}, 'child_frame_id': 'laser', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 1.0}}}"
2025/10/17 12:43:19.108791991,"{'header': {'stamp': {'secs': 1760697710, 'nsecs': 186883052}, 'frame_id': 'map'}, 'child_frame_id': 'scan', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 1.0}}}"
