time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2025/10/17 12:43:19.310137969,1760697799,309854452,gps,2,1,47.4723897,19.063337061666665,148.44400000000002,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:19.558517771,1760697799,558094897,gps,2,1,47.47238966166667,19.063336991666667,148.447,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:19.813042910,1760697799,812723158,gps,2,1,47.472389641666666,19.063336981666666,148.44400000000002,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:20.67677382,1760697800,67179474,gps,2,1,47.47238968166667,19.063336991666667,148.457,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:20.312444061,1760697800,311948945,gps,2,1,47.47238966166667,19.063336951666667,148.458,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:20.574537179,1760697800,574081335,gps,2,1,47.47238966,19.06333687,148.45999999999998,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:20.812096300,1760697800,811797480,gps,2,1,47.472389615,19.063336856666666,148.469,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:21.70034163,1760697801,69447446,gps,2,1,47.472389568333334,19.063336778333333,148.462,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:21.309792620,1760697801,309412703,gps,2,1,47.472389508333336,19.06333688,148.465,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:21.560700384,1760697801,560285773,gps,2,1,47.472389455,19.063336933333332,148.478,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:21.813738105,1760697801,813249276,gps,2,1,47.47238943666667,19.063337025,148.49099999999999,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:22.65493465,1760697802,65335662,gps,2,1,47.47238944,19.06333706,148.499,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:22.306657840,1760697802,306230219,gps,2,1,47.472389405,19.063337028333333,148.502,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:22.571714686,1760697802,571399639,gps,2,1,47.472389396666664,19.063336985,148.498,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:22.809315771,1760697802,808806661,gps,2,1,47.472389328333335,19.063336991666667,148.50799999999998,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:23.67080920,1760697803,66715649,gps,2,1,47.47238934,19.063337093333335,148.522,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:23.311206383,1760697803,310810529,gps,2,1,47.47238932333333,19.063337015,148.528,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:23.559882386,1760697803,559496605,gps,2,1,47.472389225,19.063337186666665,148.538,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:23.809549972,1760697803,809112951,gps,2,1,47.47238934,19.063336963333334,148.576,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:24.64159001,1760697804,63701354,gps,2,1,47.472389416666665,19.063336858333333,148.599,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:24.310754768,1760697804,310310632,gps,2,1,47.472389406666665,19.063336743333334,148.62,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:24.571041405,1760697804,570680533,gps,2,1,47.47238938666667,19.063336781666667,148.635,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:24.811096410,1760697804,810806686,gps,2,1,47.472389533333335,19.063336583333335,148.664,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:25.66580621,1760697805,66241023,gps,2,1,47.472389543333335,19.063336355,148.675,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:25.309496022,1760697805,309177413,gps,2,1,47.472389605,19.063336388333333,148.715,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
2025/10/17 12:43:25.561202586,1760697805,560869113,gps,2,1,47.47238963,19.063336393333334,148.737,17.305600000000002,0.0,0.0,0.0,17.305600000000002,0.0,0.0,0.0,276.88960000000003,1
