time,transforms_0
2025/10/17 12:49:06.751054598,"{'header': {'stamp': {'secs': 1760697710, 'nsecs': 187526619}, 'frame_id': 'map'}, 'child_frame_id': 'laser', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 1.0}}}"
2025/10/17 12:49:06.751073027,"{'header': {'stamp': {'secs': 1760697710, 'nsecs': 186883052}, 'frame_id': 'map'}, 'child_frame_id': 'scan', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 1.0}}}"
